mesure,indicateur,id_indicateur,valeur_actuelle,date_valeur_actuelle,valeur_initiale,date_valeur_initiale,progression,pourcentage_progression,cible,pourcentage_cible,date_cible,unite,maille
Offrir un logement aux sans-abris : Logement d’abord,Nombre de personnes sans abri ou en hébergement ayant obtenu un logement social,logement-sans-domicile-hebergement-urgence,394.0,2019-12-31,378.0,2017-12-31,16.0,4.0,,,,personnes dans l'année,0 - departemental
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements/soins 100% santé dans le total des soins optiques,tx-equipements-optique,9.14,2020-10-31,11.25,2020-01-31,-2.0,-19.0,,,,%,0 - departemental
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements/soins auditives 100% santé dans le total des soins,tx-equipements-audio,12.62,2020-10-31,17.72,2019-01-31,-5.0,-29.0,,,,%,0 - departemental
Simplifier l’accès aux droits des personnes handicapées,Durée moyenne de traitement pour les demandes d’allocation adulte handicapé,duree-moyenne-traitement-demandes-allocation-adulte-handicape,3.5,2020-09-30,3.4,2017-12-31,0.0,3.0,3.0,-25.0,2022-12-31,mois de traitement,0 - departemental
"Dédoubler les classes en REP (grande section, CP, CE1)",Part de grande section en REP dédoublées,tx-gs-rep,17.0,2020-11-30,0.0,2019-11-30,17.0,,60.0,28.0,2022-11-30,% des classes,0 - departemental
"Dédoubler les classes en REP (grande section, CP, CE1)",Part des classes de CP et CE1 en REP dédoublées,tx-classes-cp-ce1-rep,100.0,2020-10-31,79.0,2019-10-31,21.0,27.0,,,,% des classes,0 - departemental
Allonger le congé paternité pour un meilleur développement de l’enfant,Nombre de pères / conjoints prenant un congé de paternité et d’accueil de l’enfant,nb-peres-conge-paternite,2899.0,2019-12-31,,,,,,,,pères dans l'année,0 - departemental
"Limiter les classes à 24 en grande section, CP, CE1","Part des classes de GS, CP ou CE1 ayant un effectif inférieur ou égal à 24 élèves",tx-classes-cp-ce1,78.0,2020-09-30,71.0,2019-09-30,7.0,10.0,100.0,24.0,2022-09-30,% des classes,0 - departemental
Réduire la mortalité sur les routes,Nombre de morts sur les routes,nb-morts-routes,29.0,2019-12-31,33.0,2017-12-31,-4.0,-12.0,,,,morts dans l'année,0 - departemental
Déployer Parcoursup ,Taux de réussite aux examens de licence 1,tx-reussite-examens,41.0,2019-10-31,37.0,2017-10-31,4.0,11.0,,,,% de réussite,0 - departemental
Améliorer la qualité du service rendu à l’usager,Part des lieux d’accueil du public qui publient leurs résultats,tx-transparence-resultats,67.0,2019-12-31,11.0,2017-12-31,56.0,509.0,,,,%,0 - departemental
Supprimer la taxe d’habitation sur les résidences principales,Nombre de bénéficiaires totalement exonérés,nb-beneficiaires-suppression-taxe-habitation,254967.0,2020-12-31,0.0,2017-01-01,254967.0,,254967.0,100.0,2022-12-31,bénéficiaires,0 - departemental
Doubler le nombre de maisons de santé,Nombre de maisons de santé pluri-professionnelles,nb-maisons-sante,18.0,2020-06-30,12.0,2017-06-30,6.0,50.0,,,,maisons de santé,0 - departemental
Déployer une offre France Services dans tous les territoires ,Nombre de labellisations (atteinte de l'objectif fixé),nb-labellisations-france-services,10.0,2020-11-30,0.0,2017-01-01,10.0,,27.0,37.0,2022-12-31,labellisations,0 - departemental
Déployer le plan vélo,Kilomètres d'aménagements cyclables sécurisés,km-amenagement-cyclables-securises,666.0,2020-09-30,519.0,2017-12-31,147.0,28.0,718.0,74.0,2022-03-31,kilomètres,0 - departemental
