mesure,indicateur,id_indicateur,date,valeur,unite,maille
Simplifier l’accès aux droits des personnes handicapées,Durée moyenne de traitement pour les demandes d’allocation adulte handicapé,duree-moyenne-traitement-demandes-allocation-adulte-handicape,2018-12-31,3.3,mois de traitement,0 - departemental
Déployer une offre France Services dans tous les territoires ,Nombre de labellisations (atteinte de l'objectif fixé),nb-labellisations-france-services,2020-09-30,5.0,labellisations,0 - departemental
Déployer une offre France Services dans tous les territoires ,Nombre de labellisations (atteinte de l'objectif fixé),nb-labellisations-france-services,2020-10-31,5.0,labellisations,0 - departemental
Déployer une offre France Services dans tous les territoires ,Nombre de labellisations (atteinte de l'objectif fixé),nb-labellisations-france-services,2020-11-30,5.0,labellisations,0 - departemental
Améliorer la qualité du service rendu à l’usager,Part des lieux d’accueil du public qui publient leurs résultats,tx-transparence-resultats,2017-12-31,12.0,%,0 - departemental
Améliorer la qualité du service rendu à l’usager,Part des lieux d’accueil du public qui publient leurs résultats,tx-transparence-resultats,2018-12-31,56.0,%,0 - departemental
Améliorer la qualité du service rendu à l’usager,Part des lieux d’accueil du public qui publient leurs résultats,tx-transparence-resultats,2019-12-31,56.0,%,0 - departemental
Développer l’apprentissage,Nombre de contrats d’apprentissage,nombre-contrats-apprentissage,2017-12-31,1137.0,contrats,0 - departemental
Développer l’apprentissage,Nombre de contrats d’apprentissage,nombre-contrats-apprentissage,2018-12-31,1179.0,contrats,0 - departemental
Développer l’apprentissage,Nombre de contrats d’apprentissage,nombre-contrats-apprentissage,2019-12-31,1338.0,contrats,0 - departemental
Allonger le congé paternité pour un meilleur développement de l’enfant,Nombre de pères / conjoints prenant un congé de paternité et d’accueil de l’enfant,nb-peres-conge-paternite,2019-03-31,345.0,pères dans l'année,0 - departemental
Allonger le congé paternité pour un meilleur développement de l’enfant,Nombre de pères / conjoints prenant un congé de paternité et d’accueil de l’enfant,nb-peres-conge-paternite,2019-06-30,300.0,pères dans l'année,0 - departemental
Allonger le congé paternité pour un meilleur développement de l’enfant,Nombre de pères / conjoints prenant un congé de paternité et d’accueil de l’enfant,nb-peres-conge-paternite,2019-09-30,381.0,pères dans l'année,0 - departemental
Allonger le congé paternité pour un meilleur développement de l’enfant,Nombre de pères / conjoints prenant un congé de paternité et d’accueil de l’enfant,nb-peres-conge-paternite,2019-12-31,339.0,pères dans l'année,0 - departemental
Allonger le congé paternité pour un meilleur développement de l’enfant,Nombre de pères / conjoints prenant un congé de paternité et d’accueil de l’enfant,nb-peres-conge-paternite,2020-03-31,320.0,pères dans l'année,0 - departemental
Allonger le congé paternité pour un meilleur développement de l’enfant,Nombre de pères / conjoints prenant un congé de paternité et d’accueil de l’enfant,nb-peres-conge-paternite,2020-06-30,256.0,pères dans l'année,0 - departemental
"Limiter les classes à 24 en grande section, CP, CE1","Part des classes de GS, CP ou CE1 ayant un effectif inférieur ou égal à 24 élèves",tx-classes-cp-ce1,2019-09-30,82.0,% des classes,0 - departemental
"Limiter les classes à 24 en grande section, CP, CE1","Part des classes de GS, CP ou CE1 ayant un effectif inférieur ou égal à 24 élèves",tx-classes-cp-ce1,2020-09-30,84.0,% des classes,0 - departemental
Doubler le nombre de maisons de santé,Nombre de maisons de santé pluri-professionnelles,nb-maisons-sante,2017-06-30,7.0,maisons de santé,0 - departemental
Doubler le nombre de maisons de santé,Nombre de maisons de santé pluri-professionnelles,nb-maisons-sante,2017-12-31,9.0,maisons de santé,0 - departemental
Doubler le nombre de maisons de santé,Nombre de maisons de santé pluri-professionnelles,nb-maisons-sante,2018-06-30,9.0,maisons de santé,0 - departemental
Doubler le nombre de maisons de santé,Nombre de maisons de santé pluri-professionnelles,nb-maisons-sante,2018-12-31,10.0,maisons de santé,0 - departemental
Doubler le nombre de maisons de santé,Nombre de maisons de santé pluri-professionnelles,nb-maisons-sante,2019-06-30,11.0,maisons de santé,0 - departemental
Doubler le nombre de maisons de santé,Nombre de maisons de santé pluri-professionnelles,nb-maisons-sante,2019-12-31,12.0,maisons de santé,0 - departemental
Doubler le nombre de maisons de santé,Nombre de maisons de santé pluri-professionnelles,nb-maisons-sante,2020-06-30,12.0,maisons de santé,0 - departemental
Lutter contre les stupéfiants,Nombre d'amendes forfaitaires délictuelles dressées,nb-amendes-delictuelles-dressees,2020-08-31,0.0,amendes dressées dans l'année,0 - departemental
Déployer une offre France Services dans tous les territoires ,Nombre de labellisations (atteinte de l'objectif fixé),nb-labellisations-france-services,2020-08-31,4.0,labellisations,0 - departemental
Déployer une offre France Services dans tous les territoires ,Nombre de labellisations (atteinte de l'objectif fixé),nb-labellisations-france-services,2020-07-31,4.0,labellisations,0 - departemental
Déployer une offre France Services dans tous les territoires ,Nombre de labellisations (atteinte de l'objectif fixé),nb-labellisations-france-services,2020-06-30,4.0,labellisations,0 - departemental
Déployer une offre France Services dans tous les territoires ,Nombre de labellisations (atteinte de l'objectif fixé),nb-labellisations-france-services,2020-05-31,4.0,labellisations,0 - departemental
Mettre en œuvre la sortie du plastique à usage unique et lutter contre le gaspillage,Nombre de Français qui peuvent mettre tous les emballages dans le bac jaune,nb-francais-emballages-bac-jaune,2017-06-30,40000.0,habitants,0 - departemental
Mettre en œuvre la sortie du plastique à usage unique et lutter contre le gaspillage,Nombre de Français qui peuvent mettre tous les emballages dans le bac jaune,nb-francais-emballages-bac-jaune,2017-12-31,40000.0,habitants,0 - departemental
Mettre en œuvre la sortie du plastique à usage unique et lutter contre le gaspillage,Nombre de Français qui peuvent mettre tous les emballages dans le bac jaune,nb-francais-emballages-bac-jaune,2018-06-30,40000.0,habitants,0 - departemental
Mettre en œuvre la sortie du plastique à usage unique et lutter contre le gaspillage,Nombre de Français qui peuvent mettre tous les emballages dans le bac jaune,nb-francais-emballages-bac-jaune,2018-12-31,50000.0,habitants,0 - departemental
