mesure,indicateur,id_indicateur,valeur_actuelle,date_valeur_actuelle,valeur_initiale,date_valeur_initiale,progression,pourcentage_progression,cible,pourcentage_cible,date_cible,unite,maille
Offrir un logement aux sans-abris : Logement d’abord,Nombre de personnes sans abri ou en hébergement ayant obtenu un logement social,logement-sans-domicile-hebergement-urgence,1294.0,2019-12-31,1014.0,2017-12-31,280.0,28.0,,,,personnes dans l'année,0 - departemental
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements/soins 100% santé dans le total des soins optiques,tx-equipements-optique,16.5,2020-10-31,16.46,2020-01-31,0.0,0.0,,,,%,0 - departemental
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements/soins auditives 100% santé dans le total des soins,tx-equipements-audio,13.57,2020-10-31,13.73,2019-01-31,-0.0,-1.0,,,,%,0 - departemental
Simplifier l’accès aux droits des personnes handicapées,Durée moyenne de traitement pour les demandes d’allocation adulte handicapé,duree-moyenne-traitement-demandes-allocation-adulte-handicape,2.5,2019-12-31,2.4,2017-12-31,0.0,4.0,3.0,17.0,2022-12-31,mois de traitement,0 - departemental
"Dédoubler les classes en REP (grande section, CP, CE1)",Part de grande section en REP dédoublées,tx-gs-rep,40.0,2020-11-30,0.0,2019-11-30,40.0,,89.0,45.0,2022-11-30,% des classes,0 - departemental
"Dédoubler les classes en REP (grande section, CP, CE1)",Part des classes de CP et CE1 en REP dédoublées,tx-classes-cp-ce1-rep,100.0,2020-10-31,93.0,2019-10-31,7.0,8.0,,,,% des classes,0 - departemental
Allonger le congé paternité pour un meilleur développement de l’enfant,Nombre de pères / conjoints prenant un congé de paternité et d’accueil de l’enfant,nb-peres-conge-paternite,9938.0,2019-12-31,,,,,,,,pères dans l'année,0 - departemental
Supprimer la taxe d’habitation sur les résidences principales,Nombre de bénéficiaires totalement exonérés,nb-beneficiaires-suppression-taxe-habitation,681552.0,2020-12-31,0.0,2017-01-01,681552.0,,681554.0,100.0,2022-12-31,bénéficiaires,0 - departemental
Réduire la mortalité sur les routes,Nombre de morts sur les routes,nb-morts-routes,103.0,2019-12-31,122.0,2017-12-31,-19.0,-16.0,,,,morts dans l'année,0 - departemental
Déployer Parcoursup ,Taux de réussite aux examens de licence 1,tx-reussite-examens,39.0,2019-10-31,36.0,2017-10-31,3.0,8.0,,,,% de réussite,0 - departemental
Améliorer la qualité du service rendu à l’usager,Part des lieux d’accueil du public qui publient leurs résultats,tx-transparence-resultats,75.0,2019-12-31,10.0,2017-12-31,65.0,650.0,,,,%,0 - departemental
Lutter contre les atteintes aux principes républicains,Nombre de contrôles réalisés par les plans de lutte contre la radicalisation dans les quartiers (PLR-Q) et les cellules départementales de lutte contre l'islamisme et le repli communautaire (CLIR),nb-controles-clir,151.0,2019-12-31,114.0,2018-12-31,37.0,32.0,,,,contrôles dans l'année,0 - departemental
"Limiter les classes à 24 en grande section, CP, CE1","Part des classes de GS, CP ou CE1 ayant un effectif inférieur ou égal à 24 élèves",tx-classes-cp-ce1,64.0,2020-09-30,61.0,2019-09-30,3.0,5.0,100.0,8.0,2022-09-30,% des classes,0 - departemental
Doubler le nombre de maisons de santé,Nombre de maisons de santé pluri-professionnelles,nb-maisons-sante,19.0,2020-06-30,2.0,2017-06-30,17.0,850.0,,,,maisons de santé,0 - departemental
Déployer une offre France Services dans tous les territoires ,Nombre de labellisations (atteinte de l'objectif fixé),nb-labellisations-france-services,10.0,2020-11-30,0.0,2017-01-01,10.0,,29.0,34.0,2022-12-31,labellisations,0 - departemental
Déployer le plan vélo,Kilomètres d'aménagements cyclables sécurisés,km-amenagement-cyclables-securises,460.0,2020-09-30,342.0,2017-12-31,118.0,35.0,474.0,89.0,2022-03-31,kilomètres,0 - departemental
